id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
1;abnormally mostly though;lender blah;2025-07-01;after char untried;anti bitterly;qua indeed;gigantic general yowza;soon whoever skean;loftily ack;lovable;tame from;gah runny license;meh mosh
2;reproachfully colorfully;instructive lest;2025-07-01;fraternise overtrain grubby;represent;victorious embarrassment;soybean;unlike;brr;quaintly selfishly orange;anenst uneven;bank near institutionalize;character
3;key dally;only vista;2025-07-01;than following;dimly;nor;fess;yet ugh consequently;wring instead;at yippee;colorize as greatly;case although without;ick ugh
4;phew unhealthy;silk boo;2025-06-30;till boohoo defensive;behind meanwhile;warlike ironclad shred;analyse light forenenst;without courageous tank;legal atop boohoo;safely indeed boggle;powerless swiftly;youthfully mid;every
5;before;breed highly;2025-06-30;godparent sick;inasmuch chapel as;into even;while;fatally;while throughout;victoriously whoever;lest;where;spiffy whitewash accomplished
6;oof;stir-fry round casket;2025-07-01;justly numb;as irresponsible;diligently;until physically blacken;keenly however;knottily even;hence hm;above fooey;elegantly when;limping pushy meh
7;duh vice;that provided;2025-07-01;fat;tensely up;surge leading;meanwhile rotating;instantly or;candid;jungle excluding;in prestigious buzzing;abnegate colorfully;fooey pecan
8;lightly overload;breakable joyously;2025-07-01;times meh across;although never chase;suffice;kindheartedly till hastily;separately;elevation;lest circumference;phooey impassioned chunter;bah moor;talkative instantly
9;quintessential;physically yum;2025-07-01;fooey yippee;cook so;different amid aha;eventually;versus whereas bowler;instead shrilly;pepper general newsprint;via miserably fooey;overconfidently happy-go-lucky bitterly;whenever yowza
10;thongs fairly;revoke sonar;2025-06-30;developmental;lest mooch;without now accessorise;duh mid;intent;govern till than;entomb;outside;uh-huh innocently;meh normal mmm
