id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape;identifiant_ai;checked
1;pip;loyally brr while;um gently;gee;phooey;helplessly ownership;underpants gadzooks institute;snow;2025-06-30;2025-06-30;2025-06-30;ack weird;aw fantastic;2025-07-01;2025-07-01;braid whoa;yippee approximate not;classic trusty;vacantly softly;soybean bicycle;marvelous;scenario overdub;tinted;boohoo gadzooks;false
2;muddy;nor gah;birdcage scarily;genuine;circa yet;subexpression and;pulp tuber;till;2025-07-01;2025-06-30;2025-07-01;procurement;knowingly against anenst;2025-06-30;2025-06-30;parade even;splendid morbidity before;aha mammoth ack;royal;misguided minus;meanwhile unfinished moist;cricket extremely although;fairly;wry;true
3;indeed wildly;sympathetically meh staid;athwart;exploration oof;substitution astride accidentally;onto why zowie;tidy;anxiously correctly incidentally;2025-06-30;2025-06-30;2025-06-30;overreact unless;almost;2025-07-01;2025-06-30;worth;electrify;apud;healthily;faint;although absent honorable;ick ew;aw;institute provided yippee;false
4;rawhide anti meh;futon;ugh ack drat;pish;immediately by though;psst yum male;whereas cumbersome twine;pro sympathetically;2025-07-01;2025-06-30;2025-07-01;similar;round er;2025-07-01;2025-06-30;past duh;crest;next successfully icebreaker;gadzooks hence;lest reckless ick;awkwardly mash;gosh;indeed;formal gladly cruelly;false
5;midst;sans what pace;glaring;between habit final;facilitate;overburden which whoever;ascertain if but;contractor ecstatic pro;2025-07-01;2025-06-30;2025-06-30;yahoo;below;2025-06-30;2025-07-01;aw;whoa annual;slope;ruddy save under;gestate;greedy abaft;finally faint;natural rotten;whether ew;false
6;finally outbid;ugh unless;major phooey instead;glossy up demobilise;hmph aw;and oof save;hmph yum wolf;yearly why who;2025-07-01;2025-06-30;2025-06-30;frantically coaxingly swift;suspiciously dismal;2025-07-01;2025-07-01;steeple;till even;kissingly after ha;seldom accomplished defrag;diligently vainly onto;furthermore whereas;dulcimer likewise;drat;embalm gee intensely;false
7;doubtfully;carp which;past thoughtfully before;proper;overcharge;spattering;along;barracks;2025-07-01;2025-07-01;2025-06-30;an ah;saturate geez innocently;2025-06-30;2025-07-01;retention dishonor;oh foolishly;usefully bookend;grizzled grouchy ouch;toward watery although;when disconnection untried;until;until lowball low;unless politely;false
8;inventory trust;brr;at;ah;an entice;instruction mid kettledrum;scheme;ew tabletop;2025-07-01;2025-07-01;2025-06-30;absent however sauerkraut;tut;2025-07-01;2025-07-01;lyre functional;retrospectivity ghost ack;lace;joyful downchange reboot;emergent weighty crystallize;impressionable ocelot lay;interchange window anxiously;wilt blindly than;made-up over;false
9;vice evenly;round afore;charm hunt;for gleaming whistle;given feminize whether;aboard unlike;exactly;think;2025-07-01;2025-06-30;2025-06-30;summer;into aftermath encouragement;2025-07-01;2025-07-01;jovially because although;which;fooey after odd;pish oof;beneath;flimsy;creature considering;ew optimal;until neatly contrail;true
10;instead the;provided above illiterate;ha into hungrily;athwart crazy economise;educated honored next;doubtfully blah;in brightly once;deliberately;2025-07-01;2025-07-01;2025-07-01;hammock;connect;2025-07-01;2025-07-01;defiantly revere avow;versus aw;on;once concerning;huzzah;fortunately giant;phooey steel;authorized;rosy;true
