id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic;identifiant_ai;checked
1;deflate questionably boohoo;now ack bah;bakeware at;stitcher;mosh;strict spiteful fixed;on impolite ew;pliers ha attribute;2025-07-01;2025-06-30;2025-06-30;that;as hastily;showy;2025-07-01;2025-07-01;thorny gloomy splendid;pace acidic uh-huh;sadly off;yum though;pharmacopoeia miskey;yowza;focused ack;false
2;oddly;fooey gee;madly divert naturally;afore;underneath hm;vice pull;but;siege for respectful;2025-06-30;2025-06-30;2025-07-01;usher moralise mom;haul of;tightly ah unless;2025-06-30;2025-07-01;royal floodlight;ack good-natured;ouch finally above;because;vacantly sparse;whose ah;mmm hence;false
3;forswear;developmental fast;scheme gadzooks;utilization;elegant sonnet;after both;zowie arraign;woot phooey interesting;2025-07-01;2025-07-01;2025-07-01;into;doubtfully boo brr;yum;2025-06-30;2025-06-30;quarterly;advancement pish bah;thoroughly wildly;ugh;clonk;mid sans;testify upright;false
4;yum immediately;yuck rigidly unknown;oh;whereas against eek;hmph;quip;rapidly gah;bah;2025-07-01;2025-06-30;2025-07-01;wee;gracefully;um;2025-07-01;2025-07-01;federate stiffen yippee;or;crocodile aside closely;selfishly apricot pish;yowza;failing;reservation a;false
5;duh that;airbus;venom;conceal;um curse;make;soft;absent enrage joint;2025-07-01;2025-07-01;2025-07-01;unhappy;favorable alienated;annual yieldingly aboard;2025-07-01;2025-07-01;fondly whether;absent;despite meanwhile siege;euphonium;catalyze inconsequential instead;charlatan impure supposing;about;true
6;barring intent gad;simple evenly yet;freely busily lightly;except huzzah colorful;marten;than discourse;sure-footed yet cycle;athwart sushi;2025-07-01;2025-07-01;2025-07-01;nicely scented meh;deserted different rationalise;remarkable confusion;2025-07-01;2025-07-01;conservative tackle within;that mmm beloved;however ha;agreement sideboard excluding;now pessimistic;silky;bludgeon colonialism newsletter;false
7;past ew;save wrathful er;hierarchy amongst meh;if speedily;upright via partially;scout vast;gosh muddy;fireplace;2025-06-30;2025-06-30;2025-06-30;eek;brr;cruel;2025-07-01;2025-07-01;fly yuck archive;abacus;whoever lack;truly mothball where;and duffel microblog;eek brr ah;denitrify;false
8;actually;nor blah why;for;settler noisily;absentmindedly scrutinise;likewise;same er;conjecture rusty as;2025-07-01;2025-06-30;2025-07-01;agitated;about poppy majority;harvest derby;2025-06-30;2025-06-30;switchboard recount reapply;except underneath;rigidly successfully negative;cross venture;huzzah who oh;yahoo procrastinate;um;false
9;yowza;blah storyboard;slushy insecure;and charter;faint frugal zealous;paintwork blank that;short;except front eke;2025-06-30;2025-06-30;2025-07-01;brood;warmly;yowza and;2025-07-01;2025-07-01;surprisingly fleck;discontinue once dependency;hmph gah fat;below fraternise;in-joke;until nerve;highly federate;false
10;afore ah ascertain;quinoa wherever embed;excitable;rout regularly aggressive;summer failing;inasmuch caring out;what voluntarily;secrecy;2025-07-01;2025-07-01;2025-06-30;wherever fooey happy-go-lucky;given;footrest ugh;2025-07-01;2025-07-01;understated uh-huh cosset;receptor far;able around reasoning;destock awkwardly until;epic best lovingly;but;wriggler;true
