id;adresse_email;code_statut;date_statut;code_usage_email
1;incidentally scotch;yellowish access wherever;2025-07-01;innocently as
2;which;unlike whoever while;2025-07-01;eek early blind
3;woot;arbitrate gosh disloyal;2025-06-30;construe oof boastfully
4;inside;adventurously;2025-07-01;thoroughly merrily athwart
5;till overconfidently inasmuch;fond vainly fathom;2025-07-01;unlearn rigidly
6;amidst ouch plus;apropos gee fabricate;2025-07-01;yearly derby while
7;tough leap although;octave larva;2025-06-30;inasmuch underpants
8;utterly;when;2025-07-01;hovercraft drat
9;frantically festival;joshingly unabashedly expansion;2025-07-01;till
10;adaptation;cripple;2025-07-01;lightly direct
